OBJECT_NAME,OBJECT_ID,epoch_iso,mm_rev_day,ecc,inc_deg,raan_deg,argp_deg,mean_anom_deg,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,norad,ELEMENT_SET_NO,REV_AT_EPOCH,bstar,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,"Invalid query: ""GROUP=rocket-bodies&FORMAT=csv"" (GROUP=rocket-bodies not found)",label
STARLINK-34257,2025-176AD,2025-09-04T22:00:03.000096,15.51293181,0.00012634,53.1593,300.301,83.0787,215.3935,0.0,U,65225,999.0,459.0,-0.028006539,-0.01513154,0.0,,Payload
SHIYAN-28B 02,2025-177A,2025-09-04T18:53:08.655072,14.29095543,0.00039946,11.0011,353.5197,293.364,66.6167,0.0,U,65226,999.0,264.0,0.00016374622,8.54e-06,0.0,,Payload
SKYKRAFT-4E,2025-154L,2025-09-04T21:51:03.797568,14.92796857,0.00066357,97.7083,313.103,131.0244,229.155,0.0,U,65227,999.0,469.0,0.000872646,8.979e-05,0.0,,Payload
HULIANWANG DIGUI 9A,2025-178A,2025-09-03T06:19:26.927904,13.61818725,0.00015779,86.494,110.7849,92.9471,267.1865,0.0,U,65228,999.0,227.0,7.4049139e-05,7.3e-07,0.0,,Payload
HULIANWANG DIGUI 9B,2025-178B,2025-09-03T06:12:02.138112,13.62011127,0.00015314,86.4959,110.7877,87.339,272.7941,0.0,U,65229,999.0,227.0,0.0001677167,1.45e-06,0.0,,Payload
HULIANWANG DIGUI 9C,2025-178C,2025-09-03T06:07:07.678272,13.62199386,0.0001513,86.4898,110.7695,94.1107,266.0222,0.0,U,65230,999.0,227.0,-0.00029267,-2.1e-06,0.0,,Payload
HULIANWANG DIGUI 9D,2025-178D,2025-08-29T18:40:14.360736,13.66453661,0.0005371,86.4892,112.4106,173.9796,186.1428,0.0,U,65231,999.0,166.0,1.711241e-05,3.1e-07,0.0,,Payload
HULIANWANG DIGUI 9E,2025-178E,2025-08-29T16:52:03.561600,13.67245238,0.00056108,86.4977,112.4228,161.6425,198.4937,0.0,U,65232,999.0,165.0,4.5000718e-05,5.4e-07,0.0,,Payload
CZ-6A R/B,2025-178F,2025-09-04T20:48:10.034784,13.94578531,0.01050007,86.5049,109.9049,60.2682,300.889,0.0,U,65233,999.0,255.0,2.6030626e-05,5.5e-07,0.0,,Rocket Body
CZ-4C R/B,2025-177B,2025-09-04T11:53:11.688288,14.57548162,0.01515192,10.9963,349.7592,239.9586,118.5532,0.0,U,65234,999.0,264.0,0.00026405078,2.018e-05,0.0,,Rocket Body
STARLINK-34842,2025-179A,2025-09-04T22:00:03.000096,15.49180351,0.00016497,97.6028,288.6309,76.7619,29.0227,0.0,U,65235,999.0,378.0,0.00028657572,0.00015516,0.0,,Payload
STARLINK-34938,2025-179B,2025-09-04T22:00:03.000096,15.49158158,0.00015625,97.603,288.6325,72.4549,35.2666,0.0,U,65236,999.0,378.0,0.00051407627,0.00027934,0.0,,Payload
STARLINK-34958,2025-179C,2025-09-04T22:00:03.000096,15.4911108,8.543e-05,97.6029,288.6342,96.1932,13.3944,0.0,U,65237,999.0,389.0,0.0024257417,0.00133746,0.0,,Payload
STARLINK-34818,2025-179D,2025-09-04T22:00:03.000096,15.49174179,0.00016569,97.6029,288.6345,75.904,35.6566,0.0,U,65238,999.0,389.0,-0.00010131361,-5.602e-05,0.0,,Payload
STARLINK-34964,2025-179E,2025-09-04T22:00:03.000096,15.49109961,8.307e-05,97.6028,288.6347,103.3309,10.071,0.0,U,65239,999.0,373.0,0.0019065204,0.00104704,0.0,,Payload
STARLINK-34953,2025-179F,2025-09-04T22:00:03.000096,15.49107827,0.00010646,97.6029,288.6369,99.4232,15.9478,0.0,U,65240,999.0,389.0,0.0027067094,0.00149533,0.0,,Payload
STARLINK-34969,2025-179G,2025-09-04T22:00:03.000096,15.49161114,0.00014877,97.6029,288.6367,76.9302,40.3927,0.0,U,65241,999.0,372.0,0.00045743848,0.00024838,0.0,,Payload
STARLINK-34963,2025-179H,2025-09-04T22:00:03.000096,15.49163803,0.00015474,97.6028,288.6377,73.787,45.4531,0.0,U,65242,999.0,389.0,0.00040588479,0.00022022,0.0,,Payload
STARLINK-34982,2025-179J,2025-09-04T22:00:03.000096,15.49124859,0.00010587,97.6026,288.6383,98.6023,22.5009,0.0,U,65243,999.0,390.0,0.0019089265,0.00104893,0.0,,Payload
STARLINK-34990,2025-179K,2025-09-04T22:00:03.000096,15.49169128,0.00015648,97.6027,288.6392,85.8554,37.2286,0.0,U,65244,999.0,379.0,2.75944e-05,1.402e-05,0.0,,Payload
STARLINK-34977,2025-179L,2025-09-04T22:00:03.000096,15.49166522,0.000161,97.6032,288.6404,80.9928,44.0096,0.0,U,65245,999.0,369.0,0.00024319988,0.00013142,0.0,,Payload
